Subject,NEOFAC_N,NEO-FFI_Compl,NEORAW_01,NEORAW_06,NEORAW_11,NEORAW_16,NEORAW_21,NEORAW_26,NEORAW_31,NEORAW_36,NEORAW_41,NEORAW_46,NEORAW_51,NEORAW_56
721049,28,True,A,D,D,N,SA,D,SD,SA,D,SD,A,N
551505,24,True,SA,A,A,A,A,N,D,N,N,A,D,A
950755,23,True,SD,D,SA,A,N,SA,SA,N,A,A,D,SD
780979,23,True,N,D,SA,SA,SA,D,N,D,A,N,A,SD
283707,19,True,N,SA,N,N,D,D,SA,A,D,A,N,SD
616166,29,True,A,A,A,N,N,SA,A,N,SA,N,N,A
777265,28,True,D,N,A,SA,A,SA,SD,N,D,SD,N,SD
291010,36,True,D,A,N,SD,A,N,SD,A,N,SD,SA,N
810024,32,True,D,D,SA,N,N,SA,SD,A,SD,D,SA,N
816906,24,True,SD,A,D,D,D,SD,N,A,SA,SA,D,N
542850,25,True,SD,SD,N,N,SD,SD,D,A,SA,SD,N,D
264176,16,True,SD,SD,SD,SA,N,A,A,D,N,SA,A,SD
938393,26,True,SA,D,N,N,SA,N,SD,SD,SA,SD,A,SD
831399,32,True,D,D,SA,N,SA,N,N,SA,SA,SD,D,D
656638,32,True,SD,SA,N,SA,D,SA,N,A,SA,SD,A,D
111405,25,True,D,D,D,SA,SD,SA,N,SA,SA,SA,A,A
874975,22,True,SD,D,A,D,SD,N,N,SD,D,A,N,A
728973,29,True,D,N,D,SD,SA,SD,A,SA,A,D,D,A
781910,30,True,SA,SA,N,D,SA,A,D,D,A,D,D,A
461465,23,True,A,SA,D,SD,SA,D,SA,SA,SA,SA,SD,SD
197521,19,True,SD,SA,SD,A,N,D,A,SD,A,SA,D,N
648641,24,True,N,D,SA,SD,SA,D,A,D,D,A,A,D
635106,22,True,A,SD,A,D,SA,D,D,A,N,A,SD,D
484709,17,True,SA,A,SD,D,A,N,A,SD,SA,SA,D,SD
246033,32,True,A,N,SA,SD,SA,SD,A,A,A,D,A,SA
208415,22,True,A,SD,A,N,D,N,SD,N,SD,D,A,D
400909,22,True,D,SD,SD,N,SD,SA,D,A,N,A,N,N
643446,13,True,SA,D,A,SD,A,N,SA,SD,SD,SA,SD,SD
795752,20,True,A,A,N,SA,SA,A,SA,N,D,SA,SD,SA
834127,28,True,A,N,SA,SD,N,D,SD,N,SD,SD,SA,SD
354356,32,True,D,A,SA,N,A,A,D,D,SD,N,SA,SA
686205,26,True,A,N,A,A,A,D,D,SA,A,D,N,SD
818713,19,True,D,SD,D,A,SD,N,SA,SA,D,SD,D,N
769742,25,True,A,SA,N,N,A,N,SA,SA,SD,N,SA,D
682690,17,True,SA,D,A,SA,SA,SD,A,SD,SA,SA,A,D
823996,23,True,SD,SD,SD,N,SD,N,SD,A,A,D,N,SD
384653,23,True,SD,D,SD,D,SD,SD,SA,A,SA,N,A,A
521075,27,True,SA,SA,A,N,N,A,N,N,D,N,A,A
169116,25,True,SD,N,D,D,A,SD,D,N,A,SD,SD,SD
595092,19,True,D,N,SA,SA,D,N,D,D,D,SA,SD,N
656996,15,True,A,SD,D,D,SD,A,A,N,N,A,D,SD
566782,30,True,N,N,D,SA,SA,SA,SD,A,SA,D,SD,A
937001,24,True,SD,N,N,SA,A,A,D,SD,D,A,A,N
594723,14,True,SA,SD,SA,SA,A,A,N,SD,SD,SA,N,SD
984307,31,True,N,SD,D,SD,SA,N,D,SA,N,D,N,SA
297526,26,True,SD,N,A,A,D,SA,D,SA,D,A,D,D
662713,25,True,SA,D,N,D,N,SA,A,N,D,SD,A,N
375590,25,True,A,SA,SA,SA,SD,N,N,N,SA,A,N,A
976720,28,True,SD,SA,N,A,A,A,D,N,D,N,A,SD
833878,19,True,SD,D,SD,SA,D,D,SA,SA,SD,N,SA,N
488378,29,True,D,A,N,SD,D,N,SD,SD,N,SD,A,D
861858,30,True,D,A,SA,A,SA,A,D,SD,N,SD,N,D
440562,20,True,N,D,A,A,D,SD,D,A,N,A,D,N
448691,16,True,N,A,SD,SA,N,D,A,D,A,N,D,SD
486598,31,True,N,SA,SA,N,SD,A,D,A,SA,SA,SA,N
917094,29,True,D,SA,SA,N,N,D,A,SA,D,D,SD,SA
439330,31,True,N,N,SA,SD,A,SA,SA,A,N,D,SD,SA
972598,29,True,A,SD,SA,N,SD,N,SD,SA,SA,D,SA,D
188353,24,True,SA,A,A,SA,A,D,A,SA,SD,N,SA,A
351730,17,True,SA,N,N,SA,D,SD,N,SA,SA,A,SD,D
144102,19,True,SA,N,SD,D,N,N,SA,D,SD,D,N,SA
987761,28,True,SA,D,A,N,SA,N,D,A,SA,SD,N,SD
879042,17,True,SD,SD,N,SA,N,D,D,D,SD,A,N,D
546300,18,True,SD,D,D,N,N,D,N,SA,SD,SA,SD,D
534615,15,True,A,D,SD,SA,SD,SA,D,D,A,SA,SD,N
137161,19,True,A,N,D,N,SA,A,A,A,SD,N,SD,SD
956138,19,True,SA,SD,N,A,SA,SD,A,SA,D,N,SA,SD
438681,19,True,N,D,N,A,SA,D,A,SD,SD,D,SA,SD
598813,27,True,D,A,SD,SD,SD,SA,N,A,SD,A,A,SA
147067,21,True,N,N,A,SA,SD,D,SD,A,SA,A,D,SD
495735,29,True,SD,SD,SA,SA,A,SA,SA,SA,SA,N,D,A
758367,25,True,SD,A,SD,A,A,A,N,N,D,D,N,D
350056,25,True,D,N,D,SD,SD,A,SD,SA,D,SA,SD,A
680731,25,True,A,D,N,SD,N,D,SA,SA,N,SD,SD,SA
837505,23,True,A,A,A,SA,N,N,D,SD,A,N,D,A
731564,18,True,SA,N,SD,SD,N,A,N,SD,D,N,D,D
868024,21,True,SA,A,SD,D,A,SA,N,D,N,N,D,SD
372836,26,True,A,D,SA,N,A,D,A,SA,A,D,D,N
332247,27,True,A,SA,D,N,A,N,SA,SA,N,A,SA,A
396112,19,True,D,SD,SD,A,SD,SD,N,N,SA,N,A,N
274177,26,True,SA,SA,SD,SD,A,A,A,A,A,N,SD,A
600463,27,True,A,N,A,SD,SD,N,SD,N,SD,SD,D,SA
498956,19,True,N,SD,SA,A,D,N,SA,D,D,D,A,D
764091,20,True,D,N,SA,A,N,SD,SA,SA,A,A,SD,SD
824960,27,True,A,N,D,A,A,A,SD,SD,A,SD,D,SA
269392,22,True,N,SA,N,N,A,N,SA,SD,A,SA,SD,SA
724567,22,True,SA,D,SA,A,SA,SD,SD,N,N,A,SD,A
315954,20,True,SA,SA,SD,D,SA,N,A,D,SD,SA,N,A
971451,22,True,SD,A,SA,A,N,SD,A,SA,SD,A,N,SD
976496,28,True,N,A,A,SA,SA,N,SD,SD,N,SD,SD,SA
722429,22,True,SA,SD,SD,SA,A,SA,D,SA,N,D,D,N
376326,30,True,SD,SA,A,D,SD,N,SD,D,N,SA,A,SA
689489,25,True,D,N,N,A,N,A,SD,SD,N,N,N,N
320456,34,True,SD,D,SA,D,A,SA,SD,A,SD,N,N,SA
265982,27,True,D,SA,D,SA,A,A,SD,D,A,D,D,D
190697,22,True,A,D,SA,A,SA,A,A,D,SD,N,D,A
224299,23,True,SA,N,SD,N,D,D,SD,D,D,SD,SA,A
647940,23,True,SD,A,A,SA,SD,D,A,A,N,SD,D,D
205626,22,True,N,SA,A,SA,SD,A,D,N,A,SA,D,D
319865,19,True,SA,SA,SD,A,SD,SD,N,A,A,A,N,A
904783,25,True,SD,SA,N,SA,D,SA,D,SD,N,SA,D,SA
886699,28,True,D,SD,D,SD,N,SA,A,N,N,SD,A,N
844768,24,True,SA,SA,SA,D,SD,SA,SA,N,N,N,N,D
848561,25,True,N,SA,SD,N,SD,N,SD,SA,SD,D,SD,SA
350084,19,True,A,N,SD,SD,SA,SD,SA,SD,D,D,SD,SA
784160,33,True,SD,SA,SA,SD,SA,N,A,D,N,N,N,A
843930,16,True,SA,SA,N,N,SD,N,SA,D,D,SD,SD,SD
179186,29,True,SA,N,SA,D,SA,A,SD,SD,A,A,SA,D
598807,30,True,D,D,A,SA,D,SA,D,SA,D,D,A,SA
448396,27,True,SA,SA,A,D,D,A,N,SD,SA,D,SA,SD
779120,27,True,N,D,D,SD,N,SA,N,N,A,A,SA,D
164636,22,True,D,SA,N,N,N,N,SA,A,N,N,SD,SD
676209,29,True,A,N,N,D,SD,A,SD,N,SA,D,A,N
918515,24,True,D,A,N,SA,A,D,SD,N,N,A,A,SD
628922,28,True,N,A,A,A,A,A,SD,N,SA,SA,D,N
419965,21,True,A,A,SA,SD,SD,SD,SA,SA,N,SA,N,D
350109,33,True,D,N,SA,SD,SA,D,D,SD,A,D,N,SA
672103,18,True,SA,N,D,SA,A,D,SD,N,D,SA,SD,SA
685851,20,True,A,SD,A,SA,SA,N,SD,D,D,A,SD,A
919689,21,True,N,SD,N,N,D,D,N,D,N,A,A,SA
707285,25,True,SA,SD,N,SD,D,N,D,SA,SA,SA,SA,D
785100,26,True,A,N,A,A,SA,D,SD,SD,N,N,A,A
182984,24,True,SD,D,A,SD,N,D,SA,SA,SD,SA,D,SA
667156,32,True,SD,N,A,A,A,D,SD,A,SA,SD,A,SD
189548,29,True,SD,SA,SA,SD,SD,SD,A,SA,A,A,A,D
385326,24,True,SA,A,A,SA,A,A,N,SA,D,D,N,SD
969801,28,True,N,A,A,D,N,A,SA,N,D,SD,N,A
228801,17,True,A,A,SD,SA,SD,A,N,SD,A,N,SD,A
840623,24,True,N,D,SA,A,N,SA,SA,N,SD,N,SA,N
440033,27,True,D,N,N,SD,D,A,D,SD,A,SA,A,A
686773,21,True,SA,SA,D,SD,D,D,SA,A,D,D,D,N
723050,33,True,D,A,SA,D,N,A,A,SA,SA,SA,N,SA
540525,24,True,SD,SA,D,SA,N,N,D,SD,A,A,SA,SD
412473,25,True,SA,SD,A,D,SA,SA,N,D,D,D,N,N
129718,22,True,N,D,N,D,D,SD,D,N,D,D,SD,SA
929961,24,True,N,A,SA,A,SA,D,A,D,N,D,SD,N
151722,19,True,A,SD,SD,A,D,D,SD,SA,N,D,D,D
536378,15,True,SD,SD,SD,SA,A,N,SA,D,N,A,D,D
727927,27,True,SD,A,SA,SA,SA,SD,SA,SD,SA,D,SA,D
334135,28,True,D,N,N,D,A,SA,SD,SD,D,SA,SA,N
582625,23,True,A,D,D,D,A,D,N,N,A,A,A,N
305329,22,True,SA,SD,SA,A,D,SA,N,SD,A,SD,SD,A
597586,26,True,N,SD,SA,SD,SA,N,SA,SA,D,N,A,SD
309955,26,True,D,A,D,SD,N,D,A,SD,A,SD,SA,SD
249248,23,True,N,A,D,SD,D,N,A,D,A,D,N,SD
827538,26,True,N,A,A,D,SD,SA,SA,A,SD,SD,D,A
297553,21,True,N,SD,SD,A,N,SA,A,SA,N,SA,D,SA
817234,27,True,D,A,N,N,SD,SA,D,A,SA,SA,N,D
635310,24,True,A,A,SA,SA,N,N,A,SA,D,SA,SA,N
791799,18,True,SA,SD,N,N,SA,SD,D,D,D,SD,D,SD
259600,14,True,SA,SD,A,SA,A,N,N,SD,D,N,D,SD
210174,27,True,A,D,N,N,N,A,SD,A,SA,A,D,A
137450,28,True,N,SA,A,A,N,SD,D,SA,SD,SD,SA,D
289984,27,True,SD,N,D,A,SD,N,SA,SA,N,SD,SA,A
395772,18,True,D,D,N,SA,A,N,SA,SA,SD,N,D,SD
479726,26,True,N,D,SA,D,D,N,D,D,SD,D,N,SA
914128,20,True,D,D,N,N,D,SD,SA,D,N,D,D,SA
722056,26,True,D,SA,SA,N,N,SD,A,SA,A,A,N,SD
526496,18,True,A,SA,D,A,SD,SD,SD,D,SD,SA,N,SA
134500,20,True,SD,SD,D,A,N,N,N,N,SD,D,A,SD
357643,27,True,SA,D,N,SA,SA,SA,SD,D,SA,SA,A,SA
195157,27,True,SD,SD,A,D,A,D,SA,N,N,D,SA,N
337683,25,True,N,D,D,A,A,D,D,A,SD,SD,A,A
577452,28,True,SD,SD,A,D,SD,SA,SD,N,D,D,D,A
194398,25,True,N,A,D,A,D,N,N,N,D,SD,A,A
725855,19,True,SA,SD,A,A,D,SA,SA,A,SD,SD,D,N
189118,31,True,SD,N,N,SD,SA,N,SA,A,SA,N,SD,SA
444962,22,True,D,A,SD,SA,A,N,N,D,N,SA,A,A
432606,22,True,SD,N,SA,SA,SD,N,A,SD,SD,SD,N,A
553266,24,True,D,N,N,A,SA,D,A,D,N,N,N,A
634127,13,True,A,SD,SD,A,N,SD,A,SA,D,N,SD,D
523143,21,True,A,D,D,D,SD,A,SD,SA,D,SA,D,N
392526,25,True,N,A,SD,N,A,SD,SD,A,SA,D,D,SD
800892,21,True,SA,D,N,SD,A,N,SA,SA,SD,SD,SD,D
504072,18,True,SD,D,D,N,A,SD,SA,SD,D,SA,SA,N
407121,18,True,SA,N,SD,SA,A,A,N,N,D,A,A,D
510342,28,True,D,D,SA,D,SD,N,SD,SD,D,D,SA,A
492143,30,True,SA,SA,N,SD,N,SA,SA,N,A,D,N,SA
973158,31,True,A,SA,D,D,A,SA,SD,N,A,A,A,N
970047,23,True,N,SA,SD,A,N,A,A,SD,N,N,SA,N
914107,17,True,D,N,N,SA,N,D,A,SD,SD,SA,A,A
756298,29,True,SD,A,SD,D,SD,SA,SD,N,D,N,N,SA
127350,20,True,A,A,A,D,N,SA,N,SD,SD,N,SD,SD
712737,18,True,SA,SD,SD,N,N,A,N,D,D,SD,A,SD
714926,25,True,SD,SD,N,D,SD,N,SA,A,N,SD,N,A
537456,24,True,SA,SA,SA,D,N,D,D,N,D,D,SD,D
971492,24,True,A,D,N,N,SD,A,D,A,D,N,SA,N
109056,21,True,A,D,SD,SA,SA,SD,SD,A,A,SA,N,A
550973,25,True,SA,SA,SA,D,A,SA,SD,D,D,SA,SD,D
533905,18,True,A,D,D,A,A,D,SA,SA,SD,N,A,D
533576,18,True,N,SD,SA,SA,SA,D,A,N,N,A,SD,D
906965,23,True,D,SD,SD,SA,N,SA,SA,N,SA,SD,SA,SD
358946,23,True,N,SA,SD,A,N,SD,D,N,SD,N,SA,A
371650,30,True,D,A,SA,SA,A,SD,SD,SD,A,SD,SA,N
757631,23,True,A,SA,SA,SA,N,D,A,SA,N,N,N,SD
300078,16,True,N,D,SD,A,SD,D,A,SD,D,A,SA,SA
252187,14,True,A,D,SD,SA,SD,N,A,N,D,SD,N,SD
277808,21,True,D,A,A,SA,D,SD,D,A,D,SD,SD,SD
187156,17,True,SD,SD,A,SA,N,N,N,SD,SD,A,SD,A
764693,27,True,A,SA,SA,N,N,SD,D,N,SA,A,D,A
422997,20,True,SD,SD,SA,SA,A,SD,N,SD,D,SD,D,D
827634,24,True,A,SA,SD,SA,SD,A,N,SA,SD,SD,N,SA
739219,15,True,A,SD,D,D,SA,SD,A,D,D,A,N,SD
727483,17,True,SD,SA,D,A,SD,N,SA,D,SD,N,SD,N
935848,25,True,SD,D,N,A,A,D,SA,SA,D,D,A,N
740408,30,True,SA,N,SA,D,D,A,D,SA,SA,SD,SD,N
643153,34,True,SD,N,A,D,SA,N,SD,SD,A,SD,D,SA
203891,23,True,N,N,A,SA,SD,SD,SA,SA,SA,SA,SA,SA
141743,23,True,N,D,SA,N,SD,D,D,SA,N,N,SD,N
250656,23,True,D,N,D,SA,SA,D,A,SA,N,A,A,D
697440,24,True,D,A,N,N,N,SA,A,A,SD,A,D,N
275920,23,True,SD,SA,SD,SD,SD,D,A,D,SD,N,SA,N
744049,25,True,A,N,SA,SD,D,N,SA,SA,A,A,SD,A
949695,29,True,A,SA,SA,SD,A,A,SA,SD,N,SA,SA,SA
979240,26,True,SA,N,SA,SA,A,SA,N,SA,A,SA,SA,SD
548339,25,True,SD,SA,N,SD,SD,A,N,D,D,SA,N,N
411785,23,True,SA,SD,N,N,D,N,D,A,SA,N,N,N
466615,21,True,D,A,N,A,SA,D,A,D,A,SA,SD,N
989683,25,True,A,SD,N,D,A,D,D,SA,SD,SD,SA,SD
666266,22,True,D,SD,N,D,A,SD,SA,A,SA,SA,SA,SD
229233,20,True,SA,D,SD,N,D,SA,D,N,SD,SD,SD,A
328436,26,True,A,SD,SA,SD,SD,N,A,N,D,SD,A,SA
863859,32,True,SD,N,SA,D,D,SA,D,A,D,D,SD,SA
248524,17,True,SD,SD,SD,SD,A,N,SA,SD,SD,A,SD,A
325707,30,True,SA,A,A,SD,SA,N,N,N,D,N,A,SA
499199,23,True,SA,D,SA,A,A,SD,SD,D,D,N,N,SA
973833,23,True,N,SA,N,A,A,N,A,A,N,N,SD,D
772257,24,True,A,D,SA,SA,SA,SA,A,D,SA,SA,D,A
718392,24,True,N,SD,D,D,SA,A,N,SD,N,D,SD,SA
974462,35,True,N,A,SA,N,SD,SA,SD,SA,A,SD,N,A
430970,22,True,SA,A,A,N,N,SD,A,N,N,A,A,A
396000,21,True,D,SA,D,SA,SD,N,SA,N,N,SD,N,D
517863,22,True,SD,SD,N,N,SA,D,A,SA,N,SA,SD,N
919520,33,True,D,SA,A,SA,N,SA,N,A,A,N,A,SA
907132,27,True,D,D,SA,D,SA,SD,N,SD,SA,N,N,N
551762,24,True,N,D,SD,SA,SA,SA,SD,A,A,A,D,D
588106,22,True,SD,D,D,SA,SD,N,D,A,A,N,D,N
672998,30,True,A,N,D,N,SA,D,SD,A,D,SD,SA,A
320197,29,True,SD,D,SA,A,SA,SA,A,D,N,D,D,A
731880,23,True,A,A,A,SD,D,SD,A,A,A,SA,SA,SD
937730,17,True,N,N,SD,N,N,D,SA,N,D,D,D,D
981738,26,True,SD,D,D,D,N,N,N,SA,SA,D,SD,SD
188899,24,True,SA,D,SA,N,A,N,A,N,SA,SA,SA,D
332556,14,True,D,SD,N,N,N,D,A,SD,SD,N,D,SD
981218,20,True,D,SD,SA,N,N,N,A,D,N,SA,SD,A
185960,17,True,SA,N,SD,A,SD,N,SA,N,D,D,N,SA
561843,23,True,D,D,D,N,SD,D,SD,SA,N,D,D,D
557547,25,True,SA,N,D,SD,N,A,N,N,A,SD,SD,N
852075,26,True,A,A,A,SA,D,A,A,N,N,N,SA,SA
345087,17,True,N,SD,D,SA,SD,SA,SD,A,SD,A,N,SD
825103,15,True,A,N,SD,A,A,SD,SD,D,D,SA,N,SD
695396,24,True,D,N,N,A,SD,SA,D,SD,SD,D,SA,N
218141,26,True,SA,N,A,D,SA,A,A,N,D,A,A,A
559988,28,True,A,SA,N,D,D,A,A,A,N,SD,D,A
835654,26,True,D,A,SA,N,N,D,SA,N,D,SD,D,A
645099,20,True,SA,SD,SD,SD,N,D,SD,D,SA,A,A,SD
570908,29,True,SA,A,SD,SD,N,D,SD,SD,SA,SD,A,SA
537117,24,True,D,SA,N,D,SD,D,D,SA,SD,A,SD,A
738111,27,True,SD,A,D,SD,A,D,N,D,SD,D,D,SA
578580,29,True,SD,D,N,A,A,A,SD,SA,A,A,D,N
820375,27,True,N,SD,D,D,N,SA,SD,A,N,D,D,N
760252,24,True,SA,D,N,SD,A,SD,SA,SA,SA,D,SD,A
441419,22,True,SA,SD,SD,D,D,N,SD,SA,A,D,D,D
774506,19,True,A,A,SD,SD,SA,SD,N,SD,D,D,SD,D
848595,23,True,N,D,SA,SA,D,A,N,N,SA,SD,SD,SD
894585,21,True,SA,A,SA,N,N,D,D,SD,N,SA,N,N
924766,25,True,A,A,D,SA,SA,SD,SD,SD,SA,N,N,SA
626753,24,True,N,D,A,D,D,N,SA,A,A,N,SA,SD
485394,22,True,SD,N,D,A,A,SA,SA,N,N,N,D,SD
442213,23,True,A,A,N,D,SD,A,SA,SA,SD,D,N,N
190968,21,True,A,SD,D,D,SA,SD,N,D,A,N,SD,SA
506679,36,True,SA,SA,SA,D,SA,SA,SD,A,SA,D,N,D
509018,16,True,SA,D,SD,SD,SD,SA,A,D,N,SA,D,N
921795,33,True,SA,D,A,D,A,A,SD,SA,A,N,SA,A
904643,29,True,N,SA,A,SD,SA,SD,A,N,N,D,A,D
619560,16,True,SA,SD,SD,D,A,D,SA,N,D,SA,N,SA
614970,23,True,SD,N,D,SA,A,N,N,SD,A,A,SA,D
629767,20,True,SD,D,D,A,SD,SD,D,A,D,D,D,N
266505,18,True,D,SD,A,A,D,N,A,SD,D,A,SA,D
456156,27,True,D,D,D,SA,A,N,A,SA,N,SD,SA,N
609729,29,True,N,A,D,SD,A,N,A,N,SA,D,A,D
616097,25,True,SD,SA,A,D,N,SD,D,SD,SA,A,D,SD
251880,34,True,D,N,A,N,SA,SA,SD,SA,SA,SA,A,D
524250,24,True,A,SA,D,A,D,N,SA,A,SA,D,SA,SD
787383,19,True,N,SD,A,A,N,D,N,N,N,SA,A,D
271159,21,True,A,A,SD,SD,D,SD,D,N,SD,SA,SA,A
301623,23,True,SD,SA,SA,SA,N,D,N,SD,SD,D,SD,A
758696,23,True,A,SA,N,SA,N,A,SA,SD,A,N,SA,N
948629,18,True,SD,SD,D,N,SD,D,SA,D,SA,A,A,D
668878,16,True,N,SD,SA,SA,N,D,SA,D,SD,D,A,SD
555287,28,True,N,D,SA,SD,N,A,N,N,D,N,A,N
330137,19,True,D,SD,SA,SA,N,N,A,D,D,SD,D,SD
396341,22,True,D,SD,A,SA,A,SD,SD,N,D,D,A,SD
105796,25,True,SD,SD,SA,SD,N,A,SD,SD,SD,D,D,SD
928822,23,True,A,SD,SA,SD,SA,N,N,A,D,A,SD,D
578622,18,True,A,SD,N,A,SA,SD,A,D,A,SA,N,A
969339,25,True,A,D,A,N,N,N,D,SA,A,A,SD,A
581458,19,True,D,SA,SD,SD,N,N,SA,SD,SD,A,A,SD
992579,27,True,SD,D,SA,D,D,SD,N,A,D,A,A,SA
963730,27,True,SD,D,N,N,D,A,N,SD,A,D,N,SA
280255,19,True,A,N,D,SA,N,D,A,SD,D,N,SA,SA
779424,22,True,SA,N,N,D,SA,N,SA,D,SA,N,D,D
706041,29,True,D,SD,A,N,D,SA,SD,N,A,D,SA,SD
193811,25,True,SD,A,A,A,SD,D,D,N,A,D,N,SD
315026,22,True,SA,N,N,SD,A,SD,A,SA,SD,N,N,N
291811,30,True,SA,SA,A,SD,SA,D,A,A,N,SD,SD,SA
783533,21,True,A,N,D,A,A,N,SA,SA,N,SA,A,N
708640,17,True,D,SD,D,A,A,D,D,SD,D,N,SD,N
719730,31,True,SD,D,A,SD,D,SD,D,A,SA,SD,D,A
345476,26,True,SD,D,A,SD,D,A,SA,SA,N,A,A,SD
667384,28,True,D,A,D,D,N,D,SD,A,D,N,SA,D
721630,19,True,N,SA,SD,SA,N,D,D,D,N,SA,N,N
890805,25,True,N,D,SA,SA,SD,A,SA,SA,SA,SD,N,D
112317,26,True,A,N,SD,N,SA,A,A,N,N,SD,N,A
700902,24,True,SD,D,SD,N,N,N,N,A,N,SA,A,A
290334,19,True,A,N,D,SA,N,A,SA,SA,SD,SD,SD,N
171024,25,True,SA,N,N,D,SD,N,SD,SA,N,N,SA,SD
506018,30,True,SD,SD,N,A,SA,D,SD,SA,SA,SD,N,SD
597052,21,True,N,SD,SD,A,N,D,N,A,A,A,N,SA
492381,17,True,SA,D,A,A,A,N,A,N,SD,A,SD,A
908643,27,True,SA,A,A,SA,SA,SA,SD,D,SA,SD,SD,SD
470170,25,True,A,D,D,A,SA,N,N,A,A,D,D,A
905981,23,True,N,D,SD,A,SA,SD,A,D,A,D,SA,A
141101,19,True,SA,N,N,A,N,N,D,SD,A,A,A,SD
667244,15,True,D,D,A,SA,D,N,SA,SD,D,SA,N,N
239946,21,True,SA,SA,SD,N,D,SD,D,N,D,SD,D,A
942223,21,True,N,D,A,SA,A,SD,SA,D,N,D,SA,N
550233,14,True,A,A,A,SA,SD,SD,SA,D,D,N,N,D
213955,24,True,D,SD,N,A,SA,A,SA,SA,D,A,A,N
896463,22,True,SA,SD,A,N,SD,SA,SD,SA,D,A,D,N
580264,24,True,SA,SD,N,SD,SA,SD,D,SA,D,A,A,N
820285,20,True,SA,D,N,N,SD,D,SD,N,N,SA,N,SA
990682,30,True,D,SA,D,N,A,A,D,N,D,N,A,A
139101,25,True,SA,A,A,D,N,D,N,N,N,D,N,N
556170,22,True,SD,N,D,SA,A,N,A,D,A,N,N,D
427712,18,True,SA,SD,D,SD,SD,A,SD,D,A,A,D,SD
692576,23,True,SA,A,D,N,A,SA,D,N,SD,D,D,D
850268,20,True,SD,N,N,SA,D,A,SA,D,D,SD,D,D
270110,22,True,D,D,A,SA,D,A,N,A,D,SD,D,SD
239305,20,True,SA,SA,SA,D,SD,SD,SA,SD,N,A,SA,N
624369,25,True,A,SD,SD,D,SD,SA,SD,A,SA,D,A,SD
155955,25,True,SD,D,N,D,D,SA,N,A,SD,SA,D,SA
211635,22,True,D,SA,SD,SA,N,SD,A,SA,SA,SD,SD,SD
803134,29,True,SA,SA,D,SD,SA,N,SD,D,A,N,D,A
315641,27,True,N,SA,SD,D,A,SA,A,N,D,D,SA,SD
842117,25,True,SD,SA,SA,A,D,N,A,D,A,SD,SD,SD
517443,22,True,D,D,D,A,N,D,SD,SD,SA,SD,D,SD
993524,23,True,N,D,A,SA,D,A,A,SA,A,A,SD,SA
848563,24,True,N,A,SD,A,A,A,A,A,SA,D,SD,D
873188,32,True,SD,A,SA,D,A,N,A,A,SA,A,N,N
345533,22,True,N,N,D,A,A,N,SA,A,A,D,SD,N
378128,31,True,N,D,SA,N,A,A,A,N,SA,A,SA,SA
447847,17,True,N,SD,N,D,A,D,A,D,A,A,SD,SD
113866,23,True,SD,N,N,N,N,SD,A,SA,SD,D,N,D
155396,12,True,A,N,SD,D,D,D,SA,D,N,SA,SD,D
839937,24,True,D,A,SA,A,SA,SD,A,A,N,SA,N,D
667830,24,True,SD,D,D,D,SA,SA,SD,SD,N,SA,SD,D
253892,18,True,SD,N,SD,A,A,SD,A,N,SD,A,D,A
891227,24,True,SD,A,SD,SD,D,A,SA,N,A,SA,D,A
866218,25,True,N,D,A,D,A,A,SD,SD,D,SD,SD,D
349889,24,True,N,SD,SA,SA,SA,SA,D,SD,A,A,SD,A
910465,31,True,SD,A,SA,N,SA,SA,A,SA,D,D,D,SD
295989,31,True,SD,D,SA,A,SA,SA,SD,D,N,SD,D,D
153424,21,True,A,A,A,N,D,D,SA,D,N,SA,SA,A
463309,15,True,A,SD,SD,N,SD,D,SD,SD,A,N,N,SD
708306,21,True,SA,D,A,SD,SA,D,SD,A,SD,SA,D,SD
627095,14,True,SA,D,N,A,SD,N,N,SD,N,A,N,D
522452,14,True,A,SA,N,N,D,N,SA,D,SD,A,SD,SD
785194,19,True,SA,SA,SD,N,SD,D,SA,A,SD,D,N,SA
417174,23,True,SD,SD,SA,A,N,SD,A,SA,N,A,D,A
974481,19,True,A,N,D,A,N,A,SA,D,SD,D,D,SA
978097,24,True,SA,D,N,N,SA,D,D,A,SD,SD,N,N
693693,22,True,D,SA,SD,A,SD,N,D,SD,A,SA,N,SA
668656,23,True,SA,N,D,D,A,N,N,SA,D,D,SD,N
393297,37,True,A,A,N,A,SA,A,SD,SA,A,SD,SA,SA
769027,19,True,A,A,A,A,SD,N,N,A,D,A,SD,N
166789,26,True,N,A,N,SD,N,SA,SD,D,SD,A,N,D
780784,15,True,SA,N,SD,D,N,A,SA,N,D,A,SD,D
671935,27,True,SD,SD,SA,SD,A,A,SA,SA,D,A,SD,A
738543,28,True,SD,N,SD,D,N,SD,SD,SA,A,N,SA,SD
208128,30,True,N,A,SD,SD,SD,N,SD,A,N,SD,SA,N
629101,27,True,A,N,D,D,A,N,D,D,A,D,N,A
826196,19,True,A,SD,SA,A,SA,D,N,D,SA,A,SD,SD
721303,29,True,N,N,SA,N,SD,SD,D,SA,SA,A,SA,A
904036,24,True,SD,SA,D,D,SD,N,A,N,SD,SD,N,D
408024,24,True,SD,SD,SD,D,SD,D,SD,A,D,SD,N,N
330378,23,True,D,D,N,D,A,D,A,N,A,A,D,N
224005,24,True,N,N,N,A,A,A,SD,SD,SA,A,N,SD
